experiment,acid_type,true_buffer_count,step,current_pH,target_pH,abs_pH_error,posterior_mean_std,posterior_max_std,matched_pka_mae,matched_pka_rmse,matched_pka_max_abs_error,matched_within_0p5_frac,matched_within_1p0_frac,all_true_pkas_within_0p5,all_true_pkas_within_1p0,effective_pka_mae,unused_slot_mole_fraction,success_if_stop_now,previous_prediction_abs_error,posterior_pkas,posterior_stds,posterior_moles,effective_pkas,true_pkas,matched_slot_indices,unused_slot_indices
1,triprotic,3,0,1.79,3.74,1.9500000000000002,0.20000000000000004,0.2,1.5173381465978988,1.5482287460457618,1.95177203031289,0.0,0.0,0.0,0.0,1.5173381465978988,0.0,0.0,,"[2.5618, 4.8717, 2.9844]","[0.2000, 0.2000, 0.2000]","[0.0614, 0.1408, 0.3707]","[2.5618, 4.8717, 2.9844]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[]
1,triprotic,3,1,3.59,3.74,0.15000000000000036,0.1981789119560562,0.19974028679354594,1.5250360931245546,1.5564484812217843,1.964317886562017,0.0,0.0,0.0,0.0,1.5185761446309571,0.0,0.0,1.0380881905183195,"[2.5559, 4.8592, 2.9797]","[0.1997, 0.1987, 0.1961]","[0.0618, 0.1406, 0.3709]","[2.5609, 4.8697, 2.9836]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[]
1,triprotic,3,2,3.62,3.74,0.1200000000000001,0.1935949728220362,0.20307109994725184,1.517352780339813,1.5472908786806951,1.9453923925290546,0.0,0.0,0.0,0.0,1.5173307263976863,0.0,0.0,1.0297771188244225,"[2.5509, 4.8781, 2.9889]","[0.2031, 0.1905, 0.1872]","[0.0615, 0.1407, 0.3712]","[2.5601, 4.8728, 2.9851]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[]
1,triprotic,3,3,3.65,3.74,0.0900000000000003,0.19017478122512596,0.19852729937950792,1.5130227192001768,1.5428839489760764,1.9401775550769145,0.0,0.0,0.0,0.0,1.5166201703475952,0.0,1.0,1.0129253823310136,"[2.5460, 4.8833, 3.0015]","[0.1985, 0.1885, 0.1835]","[0.0615, 0.1404, 0.3714]","[2.5593, 4.8736, 2.9872]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[]
2,monoprotic,1,0,2.11,6.93,4.82,0.20000000000000004,0.2,0.13219864504362366,0.13219864504362366,0.13219864504362366,1.0,1.0,1.0,1.0,0.13219864504362366,0.5396485145238947,0.0,,"[4.6753, 4.4622, 4.6534]","[0.2000, 0.2000, 0.2000]","[0.3770, 0.4046, 0.0973]","[4.6753, 4.4622, 4.6534]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,1,4.94,6.93,1.9899999999999993,0.20078589203431485,0.2102929965042488,0.12776498241415535,0.12776498241415535,0.12776498241415535,1.0,1.0,1.0,1.0,0.13148128867165987,0.539818274760727,0.0,0.6175215563829992,"[4.6726, 4.4578, 4.6560]","[0.1987, 0.1934, 0.2103]","[0.3772, 0.4046, 0.0974]","[4.6749, 4.4615, 4.6538]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,2,11.8,6.93,4.870000000000001,0.2042907812790753,0.21563100777755415,0.12084550571910402,0.12084550571910402,0.12084550571910402,1.0,1.0,1.0,1.0,0.13036275419466836,0.540062045155353,0.0,7.3449323586653925,"[4.6913, 4.4508, 4.6548]","[0.2034, 0.1939, 0.2156]","[0.3775, 0.4045, 0.0974]","[4.6779, 4.4604, 4.6536]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,3,5.81,6.93,1.12,0.20664153817865302,0.2248170967683987,0.13113200635719746,0.13113200635719746,0.13113200635719746,1.0,1.0,1.0,1.0,0.13202661981534192,0.5402200368883734,0.0,1.417055023545399,"[4.6671, 4.4611, 4.6601]","[0.1990, 0.1961, 0.2248]","[0.3781, 0.4046, 0.0973]","[4.6740, 4.4620, 4.6544]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,4,11.32,6.93,4.390000000000001,0.20845907200997912,0.22592820361066945,0.12172048420105153,0.12172048420105153,0.12172048420105153,1.0,1.0,1.0,1.0,0.13050469593045033,0.5400616849144126,0.0,6.896030172873289,"[4.6623, 4.4517, 4.6605]","[0.2054, 0.1941, 0.2259]","[0.3781, 0.4049, 0.0973]","[4.6733, 4.4605, 4.6545]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,5,10.57,6.93,3.6400000000000006,0.2108606178304767,0.22417150015630788,0.12133923790534062,0.12133923790534062,0.12133923790534062,1.0,1.0,1.0,1.0,0.1304252490276756,0.5401512863461174,0.0,6.162598218470812,"[4.6690, 4.4513, 4.6656]","[0.2228, 0.1856, 0.2242]","[0.3781, 0.4048, 0.0975]","[4.6743, 4.4604, 4.6553]",[4.3300],[1],"[0, 2]"
